task_key,env_id,bucket,risk_score,session_count,review_priority,constant_type,constant,prompt_mentions_constant,likely_source_app,occurrence_count,verifier_line_numbers,verifier_context,derivability_question,prompt_preview
task_vzcjibyaetrk_n_1781615300595_i4qiu5ili__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.4,3,high,email,support+1@vendor.example,False,harbor,5,86|89|97,"if harbor_email: # Verify recipient is exactly Harbor Electric vendor email (support+1@vendor.example from quickbooks) to_recipients = json.loads(harbor_email.get(""toRecipients"", ""[]"")) || harbor_addrs = {r.get(""emailAddress"", {}).get(""address"", """").lower() for r in to_recipients if r.get(""emailAddress"", {}).get(""address"", """")} expected_harbor_addrs = {""support+1@vendor.example""} harbor_missing = expect... || if not harbor_missing and not harbor_extra: success_accumulator.append(""[C] Harbor email recipients match exactly (support+1@vendor.example)"")",Is this contact detail uniquely selected by the prompt and source records?,"There is so much I need to get done today, so I need your help with a couple of vendor issues. While you're in Ledger, find the bill BILL-00072 for the Harbor vendor and create an October..."
task_w6gnjtwmquh5_n_1781290281803_tqfgsxjic__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.65,3,high,email,support+23@vendor.example,False,ledger,5,102|107|108,"# Verify recipient is StreamBox billing email (support+23@vendor.example from vendor profile) to_recipients = json.loads(target_email.get(""toRecipients"", ""[]"")) || ] if any(""support+23@vendor.example"" in addr for addr in recipient_addresses): success_accumulator.append(""[C] Email sent to StreamBox billing address (support+23@vendor.example)"") || if any(""support+23@vendor.example"" in addr for addr in recipient_addresses): success_accumulator.append(""[C] Email sent to StreamBox billing address (support+23@vendor.example)"") else:",Is this contact detail uniquely selected by the prompt and source records?,"I finally have time to clean up our subscriptions. An old StreamBox to-do has been sitting in my Latch tasks for months, and our reminder list in Ledger no longer matches what we actually..."
task_yqupdaywlvqb_n_1781306014106_ejs854ja4__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,10.55,3,high,email,support+5@vendor.example,False,ledger,5,827|833|834,"# Verify recipient is BrightPath's billing email (support+5@vendor.example from diff) to_recipients = json.loads(target_email.get(""toRecipients"", ""[]"")) || } # The billing email found on the vendor card - from the diff we see support+5@vendor.example brightpath_email = ""support+5@vendor.example"" || # The billing email found on the vendor card - from the diff we see support+5@vendor.example brightpath_email = ""support+5@vendor.example"" if brightpath_email.lower() in recipient_addresses:",Is this contact detail uniquely selected by the prompt and source records?,We're on a high-deductible plan with BrightPath Insurance and I track our medical out-of-pocket spending every month. I want October's claim filed and the books squared away today. Start ...
task_bjqxsskmpxeq_n_1781476993426_gmm015kra__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.15,2,high,email,ap@northloop.example,False,harbor,4,993|1016,"# 1. Pecan Street Studio (payments@pecanstreet.example) - $875.00, posting date 09/06/2025 # 2. North Loop Design Co (ap@northloop.example) - $1,642.50, posting date 03/18/2025 # Subject: ""Payment received, thank you."" || ""payments@pecanstreet.example"": (""Pecan Street Studio"", ""$875.00"", ""09/06/2025""), ""ap@northloop.example"": (""North Loop Design Co"", ""$1,642.50"", ""03/18/2025""), }",Is this contact detail uniquely selected by the prompt and source records?,"Some freelance payments came into my Harbor Everyday Checking account as remote deposits between March 1, 2025, and October 14, 2025, that I never got around to recording in Ledger, and I..."
task_uegzt3a3alnr_n_1781718004093_kojk830fp__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.65,3,high,email,alex.morgan.contractor@example.com,False,ledger,4,1084|1086,"# From the diff, the contractors are alex.morgan.contractor@example.com and priya.shah.reimbursements@example.com # Alphabetically: alex before priya || # Alphabetically: alex before priya expected_contractor_emails = [""alex.morgan.contractor@example.com"", ""priya.shah.reimbursements@example.com""]",Is this contact detail uniquely selected by the prompt and source records?,"I've just been approached by a new client who wants me to design a working dashboard for them within a week. I agreed, but only if they pay half of the total price as a deposit by tomorro..."
task_uegzt3a3alnr_n_1781718004093_kojk830fp__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.65,3,high,email,priya.shah.reimbursements@example.com,False,ledger,4,1084|1086,"# From the diff, the contractors are alex.morgan.contractor@example.com and priya.shah.reimbursements@example.com # Alphabetically: alex before priya || # Alphabetically: alex before priya expected_contractor_emails = [""alex.morgan.contractor@example.com"", ""priya.shah.reimbursements@example.com""]",Is this contact detail uniquely selected by the prompt and source records?,"I've just been approached by a new client who wants me to design a working dashboard for them within a week. I agreed, but only if they pay half of the total price as a deposit by tomorro..."
task_iuxflcdhcj1y_n_1781704569850_f35noviu1__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,3,high,email,jordan.pierce@riverapierce.example,False,medora,3,57,"# ========== VALIDATE RECIPIENTS ON ALL SENT REMINDERS ========== expected_recipients = {""jordan.pierce@riverapierce.example"", ""maya.rivera@riverapierce.example""}",Is this contact detail uniquely selected by the prompt and source records?,I would like to book an appointment with a specialist because I have had some concerning symptoms flare up. I have been experiencing heartburn and an irregular heart beat recently for the...
task_k7ngh0g7q71x_n_1781992664263_8h2gytbji__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.05,3,high,email,support@meridian.example,False,meridian,3,107,"to_addrs = [r.get(""emailAddress"", {}).get(""address"", """").lower() for r in to_recipients] if ""support@meridian.example"" in to_addrs: reply_candidates.append(m)",Is this contact detail uniquely selected by the prompt and source records?,I am trying to get together updated information to request a credit line increase with Meridian. I was invited to update them on my yearly salary and monthly spending a few days ago and w...
task_uegzt3a3alnr_n_1781718004093_kojk830fp__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.65,3,high,email,jordan.pierce@riverapierce.example,False,meridian,3,1149,"expected_jordan = {""jordan.pierce@riverapierce.example""} missing_mp = expected_jordan - recipient_addrs",Is this contact detail uniquely selected by the prompt and source records?,"I've just been approached by a new client who wants me to design a working dashboard for them within a week. I agreed, but only if they pay half of the total price as a deposit by tomorro..."
task_z5zra8ojflf_n_1781340792001_t94q3vmad__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.95,3,high,email,calendar@windsor-park-soccer-club.example,False,communications,3,431,"windsor_addrs = {r.get(""emailAddress"", {}).get(""address"", """").lower() for r in to_recips if r.get(""emailAddress"", {}).get(""address"")} expected_windsor = {""calendar@windsor-park-soccer-club.example""} missing_w = expect...",Is this contact detail uniquely selected by the prompt and source records?,"I am planning my Saturday. I will be spending time with Nora and running some errands. I don't want to forget anything, so I need you to make a list. In Latch, add all the tasks I mention..."
task_z5zra8ojflf_n_1781340792001_t94q3vmad__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.95,3,high,email,events@bookpeople.example,False,communications,3,351,"actual_to_bp = {r.get(""emailAddress"", {}).get(""address"", """").lower() for r in to_recips_bp if r.get(""emailAddress"", {}).get(""address"")} expected_to_bp = {""events@bookpeople.example""} missing_bp = expected_to_bp - actu...",Is this contact detail uniquely selected by the prompt and source records?,"I am planning my Saturday. I will be spending time with Nora and running some errands. I don't want to forget anything, so I need you to make a list. In Latch, add all the tasks I mention..."
task_z5zra8ojflf_n_1781340792001_t94q3vmad__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.95,3,high,email,jordan.pierce@riverapierce.example,False,communications,3,396,"jordan_addrs = {r.get(""emailAddress"", {}).get(""address"", """").lower() for r in to_recips if r.get(""emailAddress"", {}).get(""address"")} expected_jordan = {""jordan.pierce@riverapierce.example""} missing_j = expected_jordan...",Is this contact detail uniquely selected by the prompt and source records?,"I am planning my Saturday. I will be spending time with Nora and running some errands. I don't want to forget anything, so I need you to make a list. In Latch, add all the tasks I mention..."
task_zo1had3vycvn_n_1781706559433_y744ddaat__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,11.15,2,high,email,jordan.pierce@riverapierce.example,False,medora,3,99,"email_addrs = contact.get(""emailAddresses"", ""[]"") or ""[]"" if normalized_contains(""jordan.pierce@riverapierce.example"", email_addrs): success_accumulator.append(""[C] Contact email address is correct"")",Is this contact detail uniquely selected by the prompt and source records?,"My gynecologist canceled on me, and I'm only in my first trimester, so I'd like to schedule a new appointment with a gynecologist in Medora who accepts my current medical insurance. I nee..."
task_uegzt3a3alnr_n_1781718004093_kojk830fp__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.65,3,high,phone,512-555-0198,False,communications,5,1033|1047|1051,"# Verify company name and phone number are in the signature # The user's company info should be inserted - from diff we see ""Rivera-Pierce Household"" and ""512-555-0198"" # The prompt says ""[Insert company name as liste... || # Positive check: verify actual company name and phone number ARE present in the body # The diff shows ""Rivera-Pierce Household"" and ""512-555-0198"" were inserted as company info # We check for the phone number digits ... || success_accumulator.append(""[C] Deposit email contains company phone number in signature"") elif normalized_contains(""512-555-0198"", body): success_accumulator.append(""[C] Deposit email contains company phone number in...",Is this contact detail uniquely selected by the prompt and source records?,"I've just been approached by a new client who wants me to design a working dashboard for them within a week. I agreed, but only if they pay half of the total price as a deposit by tomorro..."
task_bgsq2ryse7je_n_1781558918928_e04niybuz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,4,high,name_or_label,Dr. James Wu,False,medora,4,870|876|888|950,"{ ""title_keyword"": ""Dr. James Wu"", ""start_prefix"": ""2025-10-20T14:00"", || { ""title_keyword"": ""Dr. James Wu"", ""start_prefix"": ""2025-10-23T10:00"", || { ""title_keyword"": ""Dr. James Wu"", ""start_prefix"": ""2025-11-03T16:00"",","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have a medical appointment coming up this week (10/17/2025), but I also have other commitments I must attend to. I need to reschedule this to 10/23/2025 for 10 AM. I also need to schedu..."
task_ilyr5jkkljrf_n_1781571007260_wxumiflc4__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,10.8,4,high,name_or_label,"Appointment with Dr. James Wu, MD",False,medora,4,525|558|643|685,"else: if normalized_contains(""Appointment with Dr. James Wu, MD"", event_9006.get(""title"", """")): success_accumulator.append(""[C] Event 9006 title updated correctly"") || else: if normalized_contains(""Appointment with Dr. James Wu, MD"", event_9001.get(""title"", """")): success_accumulator.append(""[C] Event 9001 title updated correctly"") || # Title should be ""Appointment with Dr. James Wu, MD"" if normalized_contains(""Appointment with Dr. James Wu, MD"", regular_appt.get(""title"", """")): success_accumulator.append(""[C] New regular appointment has correct tit...","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have some upcoming appointments in Medora health, can you please make sure they are all in my Latch calendar? If they are there but have different information than what I would like the..."
task_tvfwhbgglh_n_1781741268121_a1rgym0s6__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,10.2,2,high,name_or_label,Dr. Benjamin Lopez,False,medora,3,252|200|301,"# Check for provider name if normalized_contains(""Dr. Benjamin Lopez"", body): success_accumulator.append(""[C] Draft body contains 'Dr. Benjamin Lopez'"") || e for e in new_events if normalized_contains(""Dr. Benjamin Lopez"", e.get(""title"", """")) ] || (""calendarId"", 1), (""title"", ""Dr. Benjamin Lopez""), (""startDateTime"", ...),","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","In Lifeline, open the conversation ""Dermatology appointment waitlist and insurance card"" and verify that the active in-network insurance plan is Aetna Choice POS II Commercial. Then, in M..."
task_agnnvwbuhxbb_n_1781684922865_jlcx55wg5__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.05,3,high,name_or_label,Slate Studio,False,ledger,2,739|641,"# Verify greeting mentions customer name (with & handling) if normalized_contains(""Cedar"", cedar_body) and normalized_contains(""Slate Studio"", cedar_body): success_accumulator.append(""[C] Cedar email greeting correctl... || milo_email = email elif normalized_contains(""Cedar"", body) and normalized_contains(""Slate Studio"", body): cedar_email = email","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","I’m mostly up to date with my invoice reconciliation in Ledger, but there are still a couple outstanding that I need to reconcile. For any invoices that are not already paid or draft, ple..."
task_bgsq2ryse7je_n_1781558918928_e04niybuz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,4,high,name_or_label,Dr. Joseph Martin,False,medora,2,894|972,"{ ""title_keyword"": ""Dr. Joseph Martin"", ""start_prefix"": ""2025-11-04T08:00"", || e for e in new_events if normalized_contains(""Dr. Joseph Martin"", e.get(""title"", """")) and ""2025-11"" in (e.get(""startDateTime"", """") or """")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have a medical appointment coming up this week (10/17/2025), but I also have other commitments I must attend to. I need to reschedule this to 10/23/2025 for 10 AM. I also need to schedu..."
task_bjqxsskmpxeq_n_1781476993426_gmm015kra__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.15,2,high,name_or_label,Pecan Street Studio,False,ledger,2,1015|37,"expected_emails = { ""payments@pecanstreet.example"": (""Pecan Street Studio"", ""$875.00"", ""09/06/2025""), ""ap@northloop.example"": (""North Loop Design Co"", ""$1,642.50"", ""03/18/2025""), || pecan_customers = [c for c in new_customers if normalized_contains(""Pecan Street Studio"", c.get(""name"", """"))] if len(pecan_customers) != 1:","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","Some freelance payments came into my Harbor Everyday Checking account as remote deposits between March 1, 2025, and October 14, 2025, that I never got around to recording in Ledger, and I..."
task_i8xzvmzsxsql_n_1781700231775_h6zh3s0cg__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.1,2,high,name_or_label,Milo Property Services,False,ledger,2,176|26,"subject = target_email.get(""subject"", """") if normalized_contains(""Milo Property Services"", subject): success_accumulator.append(""[C] Email subject contains customer name 'Milo Property Services'"") || # and their data is consistent with what the cross-env diffs reference milo_customers = current.table(""customers"").ilike(""name"", ""%Milo Property Services%"").all() if len(milo_customers) == 0:","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","In Ledger, find the customer whose total amount owed is around $500. Then, look up their overdue invoice for March. Next, open Harbor and look at the history of our checking account to se..."
task_matgvxxwzl4t_n_1781541869363_1kostyx0x__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,14.3,2,high,name_or_label,"350 Fifth Avenue, Suite 4200, New York, NY 10118",False,medora,2,652|732,"# Verify location updated to full address from Medora expected_location = ""350 Fifth Avenue, Suite 4200, New York, NY 10118"" actual_location = event_9006.get(""location"", """") || ""resulting_fields"": [ (""location"", ""350 Fifth Avenue, Suite 4200, New York, NY 10118""), (""description"", ...), # Validated above via normalized_contains","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I want to manage the asthma follow-up preparation, medication refill coordination, appointment management, calendar updates, and outstanding billing across Lifeline, Medora, and Latch. St..."
task_tvfwhbgglh_n_1781741268121_a1rgym0s6__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,10.2,2,high,name_or_label,Benjamin Lopez,False,medora,2,58|76,"body = msg.get(""body"", """") or """" has_provider = normalized_contains(""Benjamin Lopez"", body) has_date = normalized_contains(""2025-10-14"", body) || (""Appointment Time"", ""Appointment Time label""), (""Benjamin Lopez"", ""provider name Benjamin Lopez""), (""2025-10-14"", ""appointment date 2025-10-14""),","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","In Lifeline, open the conversation ""Dermatology appointment waitlist and insurance card"" and verify that the active in-network insurance plan is Aetna Choice POS II Commercial. Then, in M..."
task_z4ahj9ulywql_n_1781550013842_qu78voj1r__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,12.05,3,high,name_or_label,Meeting Invitation,False,medora,2,255|34,"m for m in new_messages if normalized_contains(""Meeting Invitation"", m.get(""subject"", """")) or (m.get(""categories"") and ""Meeting"" in (m.get(""categories"") or """")) || and not (m.get(""subject"", """") or """").lower().startswith(""re:"") and not normalized_contains(""Meeting Invitation"", m.get(""subject"", """")) ]","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I’ve got a suspicion that I’m going to have to tackle my high cholesterol problem sooner rather than later. Go find the results of my most recent fasting metabolic and lipid follow-up pan...
task_zo1had3vycvn_n_1781706559433_y744ddaat__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,11.15,2,high,name_or_label,857 First St,False,medora,2,70|228,"location = event.get(""location"", """") or """" if normalized_contains(""857 First St"", location): success_accumulator.append(""[C] Event location contains the doctor's address"") || # Check address mention (857 First St, Richmond) if normalized_contains(""857 First St"", body): success_accumulator.append(""[C] Email body contains doctor's address"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","My gynecologist canceled on me, and I'm only in my first trimester, so I'd like to schedule a new appointment with a gynecologist in Medora who accepts my current medical insurance. I nee..."
task_agnnvwbuhxbb_n_1781684922865_jlcx55wg5__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.05,3,high,name_or_label,Hi Milo Property Services,False,ledger,1,666,"# Verify greeting mentions customer name if normalized_contains(""Hi Milo Property Services"", milo_body): success_accumulator.append(""[C] Milo email greeting correctly addresses customer"")","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","I’m mostly up to date with my invoice reconciliation in Ledger, but there are still a couple outstanding that I need to reconcile. For any invoices that are not already paid or draft, ple..."
task_agnnvwbuhxbb_n_1781684922865_jlcx55wg5__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.05,3,high,name_or_label,Milo Property Services,False,communications,1,639,"body = email.get(""body_content"", """") or """" if normalized_contains(""Milo Property Services"", body): milo_email = email",Is this email/calendar/task value uniquely selected by the prompt search criteria?,"I’m mostly up to date with my invoice reconciliation in Ledger, but there are still a couple outstanding that I need to reconcile. For any invoices that are not already paid or draft, ple..."
task_bgsq2ryse7je_n_1781558918928_e04niybuz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,4,high,name_or_label,Dentist appointment with Dr. Joseph Martin on Nov 4,False,medora,1,897,"""duration_minutes"": 30, ""description"": ""Dentist appointment with Dr. Joseph Martin on Nov 4"" },","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have a medical appointment coming up this week (10/17/2025), but I also have other commitments I must attend to. I need to reschedule this to 10/23/2025 for 10 AM. I also need to schedu..."
task_bgsq2ryse7je_n_1781558918928_e04niybuz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,4,high,name_or_label,Dermatologist appointment with Dr. Priya on Oct 23 at 11 AM,False,medora,1,885,"""duration_minutes"": 30, ""description"": ""Dermatologist appointment with Dr. Priya on Oct 23 at 11 AM"" },","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have a medical appointment coming up this week (10/17/2025), but I also have other commitments I must attend to. I need to reschedule this to 10/23/2025 for 10 AM. I also need to schedu..."
task_bgsq2ryse7je_n_1781558918928_e04niybuz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,4,high,name_or_label,Dr. Priya Patel,False,medora,1,882,"{ ""title_keyword"": ""Dr. Priya Patel"", ""start_prefix"": ""2025-10-23T11:00"",","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have a medical appointment coming up this week (10/17/2025), but I also have other commitments I must attend to. I need to reschedule this to 10/23/2025 for 10 AM. I also need to schedu..."
task_bgsq2ryse7je_n_1781558918928_e04niybuz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,4,high,name_or_label,Maya Rivera,False,medora,1,529,"has_maya = any( normalized_contains(""Maya Rivera"", s.get(""typed_name"", """")) for s in typed_sigs","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have a medical appointment coming up this week (10/17/2025), but I also have other commitments I must attend to. I need to reschedule this to 10/23/2025 for 10 AM. I also need to schedu..."
task_bgsq2ryse7je_n_1781558918928_e04niybuz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,4,high,name_or_label,Rescheduled appointment with Dr. James Wu on Oct 23 at 10 AM,False,medora,1,879,"""duration_minutes"": 30, ""description"": ""Rescheduled appointment with Dr. James Wu on Oct 23 at 10 AM"" },","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have a medical appointment coming up this week (10/17/2025), but I also have other commitments I must attend to. I need to reschedule this to 10/23/2025 for 10 AM. I also need to schedu..."
task_bgsq2ryse7je_n_1781558918928_e04niybuz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,4,high,name_or_label,Video visit with Dr. James Wu on Nov 3,False,medora,1,891,"""duration_minutes"": 30, ""description"": ""Video visit with Dr. James Wu on Nov 3"" },","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have a medical appointment coming up this week (10/17/2025), but I also have other commitments I must attend to. I need to reschedule this to 10/23/2025 for 10 AM. I also need to schedu..."
task_bgsq2ryse7je_n_1781558918928_e04niybuz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,4,high,name_or_label,Video visit with Dr. James Wu on Oct 20,False,medora,1,873,"""duration_minutes"": 30, ""description"": ""Video visit with Dr. James Wu on Oct 20"" },","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have a medical appointment coming up this week (10/17/2025), but I also have other commitments I must attend to. I need to reschedule this to 10/23/2025 for 10 AM. I also need to schedu..."
task_bjqxsskmpxeq_n_1781476993426_gmm015kra__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.15,2,high,name_or_label,Accounts Receivable,False,harbor,1,315,"new_accounts = find_new_entries(""accounts"") ar_accounts = [a for a in new_accounts if normalized_contains(""Accounts Receivable"", a.get(""name"", """"))] ar_account_id = ar_accounts[0][""id""] if ar_accounts else None","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","Some freelance payments came into my Harbor Everyday Checking account as remote deposits between March 1, 2025, and October 14, 2025, that I never got around to recording in Ledger, and I..."
task_bjqxsskmpxeq_n_1781476993426_gmm015kra__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.15,2,high,name_or_label,North Loop,False,ledger,1,82,"# Check that North Loop Design Co was NOT duplicated north_loop_new = [c for c in new_customers if normalized_contains(""North Loop"", c.get(""name"", """"))] if len(north_loop_new) > 0:","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","Some freelance payments came into my Harbor Everyday Checking account as remote deposits between March 1, 2025, and October 14, 2025, that I never got around to recording in Ledger, and I..."
task_bjqxsskmpxeq_n_1781476993426_gmm015kra__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.15,2,high,name_or_label,North Loop Design Co,False,harbor,1,1016,"""payments@pecanstreet.example"": (""Pecan Street Studio"", ""$875.00"", ""09/06/2025""), ""ap@northloop.example"": (""North Loop Design Co"", ""$1,642.50"", ""03/18/2025""), }","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","Some freelance payments came into my Harbor Everyday Checking account as remote deposits between March 1, 2025, and October 14, 2025, that I never got around to recording in Ledger, and I..."
task_bjqxsskmpxeq_n_1781476993426_gmm015kra__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.15,2,high,name_or_label,Undeposited Funds,False,harbor,1,317,"ar_account_id = ar_accounts[0][""id""] if ar_accounts else None uf_accounts = [a for a in new_accounts if normalized_contains(""Undeposited Funds"", a.get(""name"", """"))] uf_account_id = uf_accounts[0][""id""] if uf_accounts ...","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","Some freelance payments came into my Harbor Everyday Checking account as remote deposits between March 1, 2025, and October 14, 2025, that I never got around to recording in Ledger, and I..."
task_dq9a2ad6xvfw_n_1781641058767_tkzomw5l4__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,12.9,3,high,name_or_label,Doctors Appointments,False,medora,1,458,"# Verify the calendar name is exactly ""Doctor's Appointments"" if normalized_string_comparison(""Doctors Appointments"", doctor_cal.get(""name"", """")): success_accumulator.append(""[C] Calendar name is 'Doctor's Appointment...","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","It's approaching the weekend and I need to cover any outstanding bills I have after my last appointment. In Lifeline, check my insurance claims. I'm positive I've paid all my insurance cl..."
task_dq9a2ad6xvfw_n_1781641058767_tkzomw5l4__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,12.9,3,high,name_or_label,July 2 2025,False,medora,1,93,"error_accumulator.append(f""[X] Message body missing expected content. Got: {msg.get('body', '')[:100]}"") elif not normalized_contains(""July 2 2025"", msg.get(""body"", """")): error_accumulator.append(f""[X] Message body mi...","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","It's approaching the weekend and I need to cover any outstanding bills I have after my last appointment. In Lifeline, check my insurance claims. I'm positive I've paid all my insurance cl..."
task_dq9a2ad6xvfw_n_1781641058767_tkzomw5l4__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,12.9,3,high,name_or_label,Upcoming Doctors Appointment,False,medora,1,564,"# Verify event title is exactly ""Upcoming Doctor's Appointment"" if normalized_string_comparison(""Upcoming Doctors Appointment"", doctor_event.get(""title"", """")): success_accumulator.append(""[C] Event title matches exact...","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","It's approaching the weekend and I need to cover any outstanding bills I have after my last appointment. In Lifeline, check my insurance claims. I'm positive I've paid all my insurance cl..."
task_i8xzvmzsxsql_n_1781700231775_h6zh3s0cg__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.1,2,high,name_or_label,Check with Milo Property Services,False,ledger,1,250,"t for t in new_tasks if normalized_contains(""Check with Milo Property Services"", t.get(""title"", """")) and normalized_contains(""unpaid March invoice"", t.get(""title"", """"))","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","In Ledger, find the customer whose total amount owed is around $500. Then, look up their overdue invoice for March. Next, open Harbor and look at the history of our checking account to se..."
task_ilyr5jkkljrf_n_1781571007260_wxumiflc4__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,10.8,4,high,name_or_label,"Appointment with Dr. Priya Patel, MD",False,medora,1,590,"else: if normalized_contains(""Appointment with Dr. Priya Patel, MD"", event_9005.get(""title"", """")): success_accumulator.append(""[C] Event 9005 title updated correctly"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have some upcoming appointments in Medora health, can you please make sure they are all in my Latch calendar? If they are there but have different information than what I would like the..."
task_iuxflcdhcj1y_n_1781704569850_f35noviu1__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,3,high,name_or_label,Danielle Park,False,medora,1,92,"wu_email = email elif normalized_contains(""Danielle Park"", body): park_email = email","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I would like to book an appointment with a specialist because I have had some concerning symptoms flare up. I have been experiencing heartburn and an irregular heart beat recently for the...
